CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
"100−Administração, Ciências Contábeis, Economia, Economia Empresarial e Co...",,,,,,,
− Ampla Concorrência,93,1165,87,380,4.09,48,74
− Candidatos de Escola Pública,59,312,48,219,3.71,27,62
− Candidatos de Escola Pública − Grupo PPI,35,85,19,49,1.40,27,56
101−Administração − Piracicaba,,,,,,,
− Ampla Concorrência,22,196,17,88,4.00,41,68
− Candidatos de Escola Pública,11,70,19,44,4.00,27,59
− Candidatos de Escola Pública − Grupo PPI,7,17,2,12,1.71,27,39
105−Arquitetura − FAU,,,,,,,
− Ampla Concorrência,67,1924,124,298,4.45,58,81
− Candidatos de Escola Pública,27,599,59,110,4.07,49,74
− Candidatos de Escola Pública − Grupo PPI,11,201,28,51,4.64,40,65
110−Arquitetura − São Carlos,,,,,,,
− Ampla Concorrência,15,408,28,60,4.00,57,74
− Candidatos de Escola Pública,10,178,16,45,4.50,46,61
− Candidatos de Escola Pública − Grupo PPI,6,36,6,25,4.17,28,51
115−Artes Cênicas,,,,,,,
− Ampla Concorrência,16,411,38,67,4.19,50,71
− Candidatos de Escola Pública,8,185,25,40,5.00,42,65
− Candidatos de Escola Pública − Grupo PPI,6,71,11,24,4.00,34,58
125−Artes Visuais,,,,,,,
− Ampla Concorrência,16,517,51,77,4.81,54,73
− Candidatos de Escola Pública,8,216,20,33,4.13,48,64
− Candidatos de Escola Pública − Grupo PPI,6,64,5,24,4.00,37,56
130−Biblioteconomia,,,,,,,
− Ampla Concorrência,18,72,2,67,3.72,27,63
− Candidatos de Escola Pública,6,24,4,16,2.67,28,52
− Candidatos de Escola Pública − Grupo PPI,4,8,1,7,1.75,28,53
140−Biblioteconomia e Ciência da Informação − Ribeirão Preto,,,,,,,
− Ampla Concorrência,22,30,5,22,1.00,28,60
− Candidatos de Escola Pública,5,20,3,13,2.60,30,45
− Candidatos de Escola Pública − Grupo PPI,1,2,0,1,1.00,27,27
145−Ciências Sociais,,,,,,,
− Ampla Concorrência,115,823,85,494,4.30,41,75
− Candidatos de Escola Pública,24,237,36,99,4.13,40,66
− Candidatos de Escola Pública − Grupo PPI,8,76,7,32,4.00,37,55
150−Curso Superior do Audiovisual,,,,,,,
− Ampla Concorrência,19,843,74,86,4.53,61,80
− Candidatos de Escola Pública,5,283,33,20,4.00,56,71
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
155−Design,,,,,,,
− Ampla Concorrência,18,611,69,73,4.06,58,78
− Candidatos de Escola Pública,7,242,24,31,4.43,50,70
− Candidatos de Escola Pública − Grupo PPI,3,55,15,12,4.00,41,56
160−Direito,,,,,,,
− Ampla Concorrência,307,7041,555,1282,4.18,58,84
− Candidatos de Escola Pública,59,1892,246,246,4.17,51,76
− Candidatos de Escola Pública − Grupo PPI,27,529,88,121,4.48,41,70
"165−Economia, Administração, Ciências Contábeis e Atuária",,,,,,,
− Ampla Concorrência,322,4312,314,1343,4.17,53,84
− Candidatos de Escola Pública,57,1065,119,233,4.09,48,71
− Candidatos de Escola Pública − Grupo PPI,34,417,47,145,4.26,40,64
175−Economia − Piracicaba,,,,,,,
− Ampla Concorrência,22,185,13,88,4.00,45,81
− Candidatos de Escola Pública,11,104,6,47,4.27,43,63
− Candidatos de Escola Pública − Grupo PPI,7,27,1,21,3.00,27,55
,,,,,,,
185−Editoração,,,,,,,
− Ampla Concorrência,7,81,3,31,4.43,46,68
− Candidatos de Escola Pública,3,26,2,12,4.00,33,48
− Candidatos de Escola Pública − Grupo PPI,2,11,1,8,4.00,28,49
190−Filosofia,,,,,,,
− Ampla Concorrência,93,640,86,380,4.09,41,72
− Candidatos de Escola Pública,20,121,18,81,4.05,30,63
− Candidatos de Escola Pública − Grupo PPI,6,39,11,23,3.83,28,59
195−Geografia,,,,,,,
− Ampla Concorrência,93,512,33,380,4.09,37,72
− Candidatos de Escola Pública,0,0,0,0,−−−,−−−,−−−
− Candidatos de Escola Pública − Grupo PPI,26,76,6,56,2.15,27,65
"200−Gestão Ambiental − USP Leste, SP",,,,,,,
− Ampla Concorrência,66,200,10,174,2.64,27,65
− Candidatos de Escola Pública,14,66,7,54,3.86,27,59
− Candidatos de Escola Pública − Grupo PPI,4,22,4,16,4.00,30,47
205−Gestão Ambiental − Piracicaba,,,,,,,
− Ampla Concorrência,18,57,7,47,2.61,28,66
− Candidatos de Escola Pública,7,27,2,23,3.29,30,59
− Candidatos de Escola Pública − Grupo PPI,3,10,2,6,2.00,32,43
"210−Gestão de Políticas Públicas − USP Leste, SP",,,,,,,
− Ampla Concorrência,54,364,22,227,4.20,40,77
− Candidatos de Escola Pública,20,113,16,81,4.05,32,58
− Candidatos de Escola Pública − Grupo PPI,10,32,4,23,2.30,30,44
215−História,,,,,,,
− Ampla Concorrência,148,1171,95,614,4.15,43,77
− Candidatos de Escola Pública,31,373,45,130,4.19,41,63
− Candidatos de Escola Pública − Grupo PPI,10,119,12,46,4.60,36,57
220−Jornalismo,,,,,,,
− Ampla Concorrência,28,928,79,122,4.36,54,84
− Candidatos de Escola Pública,12,336,23,50,4.17,47,70
− Candidatos de Escola Pública − Grupo PPI,8,133,12,41,5.13,39,61
"225−Lazer e Turismo − USP Leste, SP",,,,,,,
− Ampla Concorrência,48,137,10,113,2.35,27,69
− Candidatos de Escola Pública,32,70,6,53,1.66,27,54
− Candidatos de Escola Pública − Grupo PPI,4,15,2,5,1.25,33,41
230−Letras,,,,,,,
− Ampla Concorrência,466,2016,186,1749,3.75,27,78
− Candidatos de Escola Pública,93,679,93,378,4.06,36,67
− Candidatos de Escola Pública − Grupo PPI,38,202,27,148,3.89,27,54
235−Licenciatura em Educomunicação,,,,,,,
− Ampla Concorrência,14,76,11,58,4.14,35,70
− Candidatos de Escola Pública,4,18,2,15,3.75,28,49
− Candidatos de Escola Pública − Grupo PPI,3,6,0,6,2.00,28,51
"240−Marketing − USP Leste, SP",,,,,,,
− Ampla Concorrência,30,472,43,127,4.23,46,70
− Candidatos de Escola Pública,32,195,21,131,4.09,31,58
− Candidatos de Escola Pública − Grupo PPI,22,63,7,47,2.14,27,50
245−Música − ECA,,,,,,,
− Ampla Concorrência,27,212,25,109,4.04,41,72
− Candidatos de Escola Pública,14,116,15,57,4.07,32,63
− Candidatos de Escola Pública − Grupo PPI,9,51,7,34,3.78,27,47
250−Música − Ribeirão Preto,,,,,,,
− Ampla Concorrência,16,54,5,42,2.63,27,64
− Candidatos de Escola Pública,8,23,1,16,2.00,27,41
− Candidatos de Escola Pública − Grupo PPI,6,22,1,16,2.67,27,51
,,,,,,,
255−Pedagogia,,,,,,,
− Ampla Concorrência,99,566,55,404,4.08,31,73
− Candidatos de Escola Pública,27,176,29,111,4.11,27,59
− Candidatos de Escola Pública − Grupo PPI,15,64,15,37,2.47,27,47
260−Pedagogia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,27,117,8,90,3.33,27,66
− Candidatos de Escola Pública,7,35,3,24,3.43,27,44
− Candidatos de Escola Pública − Grupo PPI,1,8,1,3,3.00,28,47
265−Publicidade e Propaganda,,,,,,,
− Ampla Concorrência,22,786,77,96,4.36,54,78
− Candidatos de Escola Pública,8,224,34,37,4.63,45,67
− Candidatos de Escola Pública − Grupo PPI,5,82,8,21,4.20,39,47
270−Relações Internacionais,,,,,,,
− Ampla Concorrência,29,1852,133,119,4.10,64,80
− Candidatos de Escola Pública,8,442,49,35,4.38,55,71
− Candidatos de Escola Pública − Grupo PPI,5,167,17,21,4.20,48,64
275−Relações Públicas,,,,,,,
− Ampla Concorrência,22,340,21,93,4.23,47,70
− Candidatos de Escola Pública,8,105,8,32,4.00,42,49
− Candidatos de Escola Pública − Grupo PPI,5,41,4,22,4.40,36,58
"280−Têxtil e Moda − USP Leste, SP",,,,,,,
− Ampla Concorrência,27,314,39,109,4.04,42,65
− Candidatos de Escola Pública,10,146,18,44,4.40,40,57
− Candidatos de Escola Pública − Grupo PPI,5,52,6,21,4.20,38,49
285−Turismo,,,,,,,
− Ampla Concorrência,13,104,9,56,4.31,39,57
− Candidatos de Escola Pública,5,37,5,20,4.00,27,66
− Candidatos de Escola Pública − Grupo PPI,3,14,4,7,2.33,27,43
399−Treinamento H (Humanas),,,,,,,
− Ampla Concorrência,180,3725,266,765,4.25,49,79
− Candidatos de Escola Pública,75,275,23,232,3.09,27,64
− Candidatos de Escola Pública − Grupo PPI,45,64,5,49,1.09,27,64
"400−Bacharelado em Biotecnologia − USP Leste, SP",,,,,,,
− Ampla Concorrência,33,352,18,132,4.00,51,80
